name,url,domain
"University of Massachusetts, The Center for Agriculture, Food and the Environment, Extension",http://ag.umass.edu/,umass.edu
University of Illinois,https://illinois.edu,illinois.edu
University of Kentucky,http://www.uky.edu/,uky.edu
Bay Mills Community College ,http://www.bmcc.edu/,bmcc.edu
"University of Illinois, Extension",https://extension.illinois.edu/,illinois.edu
"University of Kentucky, College of Agriculture, Food, and Environment",http://www.ca.uky.edu/,uky.edu
Keweenaw Bay Ojibwa Community College,http://kbocc.org/,kbocc.org
University of Guam,http://www.uog.edu/,uog.edu
"Iowa State University, Extension and Outreach",http://www.extension.iastate.edu/,iastate.edu
"University of Maine, Cooperative Extension",http://umaine.edu/agriculture/,umaine.edu
"University of Guam, Cooperative Extension Service",https://cnas-re.uog.edu/,uog.edu
"Iowa State University, College of Agriculture and Life Sciences",https://www.cals.iastate.edu/,iastate.edu
"University of Maine, College of Natural Sciences, Forestry, and Agriculture",http://www.nsfa.umaine.edu/,umaine.edu
"University of Guam, College of Natural and Applied Sciences",http://www.uog.edu/cnas,uog.edu
Haskell Indian Nations University ,http://www.haskell.edu/,haskell.edu
University of Maryland at College Park ,http://www.umd.edu/,umd.edu
University of Hawaii,http://www.hawaii.edu/,hawaii.edu
"Louisiana State University, College of Agriculture",http://www.coa.lsu.edu/,lsu.edu
Tuskegee University,https://www.tuskegee.edu/,tuskegee.edu
"University of Arkansas, Dale Bumpers College of Agricultural, Food, and Life Sciences",http://bumperscollege.uark.edu/,uark.edu
"University of Delaware, Cooperative Extension",http://extension.udel.edu/,udel.edu
"Tuskegee University, College of Agriculture Environment and Nutrition Sciences",https://www.tuskegee.edu/programs-courses/colleges-schools/caens,tuskegee.edu
University of Arkansas at Pine Bluff ,http://www.uapb.edu/,uapb.edu
"University of Delaware, College of Agriculture & Natural Resources",http://canr.udel.edu/,udel.edu
"Tuskegee University, Cooperative Extension Program",https://www.tuskegee.edu/programs-courses/colleges-schools/caens/cooperative-extension-program,tuskegee.edu
"University of Arkansas at Pine Bluff, Outreach and Cooperative Extension",http://www.uapb.edu/academics/school_of_agriculture_fisheries_and_human_sciences/outreach_and_cooperative_extension.aspx,uapb.edu
University of the District of Columbia,http://www.udc.edu/,udc.edu
University of Arizona,http://www.arizona.edu/,arizona.edu
"University of Connecticut, Extension",http://www.extension.uconn.edu/,uconn.edu
"University of Florida, Institute of Food and Agricultural Sciences Extension",http://solutionsforyourlife.ufl.edu/,ufl.edu
Alabama A&M University,http://www.aamu.edu/,aamu.edu
University of Arizona Cooperative Extension,http://extension.arizona.edu/,arizona.edu
"University of Connecticut, College of Agriculture, Health and Natural Resources",http://cag.uconn.edu/canr/index.php,uconn.edu
Fort Valley State University,https://www.fvsu.edu/,fvsu.edu
"Alabama A&M University, College of Agricultural, Life and Natural Sciences",http://www.aamu.edu/Academics/alns/Pages/default.aspx,aamu.edu
"University of Arizona, College of Agriculture and Life Sciences",http://ag.arizona.edu/,arizona.edu
Delaware State University,http://www.desu.edu/,desu.edu
"University of Connecticut, College of Agriculture, Health and Natural Resources",http://cag.uconn.edu/canr/index.php,uconn.edu
Fort Valley State University,https://www.fvsu.edu/,fvsu.edu
Alabama A&M University,http://www.aamu.edu/,aamu.edu
"University of Arizona, College of Agriculture and Life Sciences",http://ag.arizona.edu/,arizona.edu
Delaware State University,http://www.desu.edu/,desu.edu
"Alabama A&M University, College of Agricultural, Life and Natural Sciences",http://www.aamu.edu/Academics/alns/Pages/default.aspx,aamu.edu
Tohono O'Odham Community,http://www.tocc.edu/,tocc.edu
"Delaware State University, College of Agriculture & Related Sciences",https://cars.desu.edu/,desu.edu
Alabama Cooperative Extension,http://www.aces.edu/main/,aces.edu
University of Arkansas,http://www.uark.edu/,uark.edu
"University of Florida, Institute of Food and Agricultural Sciences",http://ifas.ufl.edu/,ufl.edu
University of Arizona,http://www.arizona.edu/,arizona.edu
"University of Connecticut, Extension",http://www.extension.uconn.edu/,uconn.edu
"University of Florida, Institute of Food and Agricultural Sciences Extension",http://solutionsforyourlife.ufl.edu/,ufl.edu
University of Arizona Cooperative Extension,http://extension.arizona.edu/,arizona.edu
"University of Connecticut, College of Agriculture, Health and Natural Resources",http://cag.uconn.edu/canr/index.php,uconn.edu
Fort Valley State University,https://www.fvsu.edu/,fvsu.edu
Alabama A&M University,http://www.aamu.edu/,aamu.edu
"University of Arizona, College of Agriculture and Life Sciences",http://ag.arizona.edu/,arizona.edu
Delaware State University,http://www.desu.edu/,desu.edu
Delaware State University,http://www.desu.edu/,desu.edu
Alabama Cooperative Extension,http://www.aces.edu/main/,aces.edu
Tohono O'Odham Community,http://www.tocc.edu/,tocc.edu
"Delaware State University, College of Agriculture & Related Sciences",https://cars.desu.edu/,desu.edu
Auburn University,http://www.auburn.edu/,auburn.edu
University of Arkansas,http://www.uark.edu/,uark.edu
"Delaware State University, Cooperative Extension",http://www.desu.edu/agriculture-and-related-sciences/cooperative-extension,desu.edu
"Auburn University, College of Agriculture",http://www.ag.auburn.edu/,auburn.edu
"University of Arkansas, Cooperative Extension Service",http://www.uaex.edu/,uaex.edu
University of Delaware,http://www.udel.edu/,udel.edu
